MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
4254 On ch=1 n=c7 v=92
4290 On ch=1 n=c4 v=0
4352 Par ch=1 c=64 v=127
4358 On ch=1 n=d7 v=80
4360 On ch=1 n=c7 v=0
4432 On ch=1 n=c7 v=79
4440 On ch=1 n=e5 v=52
4444 On ch=1 n=c5 v=55
4478 On ch=1 n=d7 v=0
4490 On ch=1 n=e5 v=0
4498 On ch=1 n=c5 v=0
4528 On ch=1 n=c7 v=0
4531 On ch=1 n=g6 v=76
4576 On ch=1 n=g6 v=0
4584 Par ch=1 c=64 v=0
4632 On ch=1 n=g6 v=84
4638 On ch=1 n=e4 v=56
4734 On ch=1 n=a6 v=73
4736 On ch=1 n=e4 v=0
4746 On ch=1 n=g6 v=0
4782 Par ch=1 c=64 v=127
4806 On ch=1 n=g6 v=80
4826 On ch=1 n=e5 v=35
4826 On ch=1 n=c5 v=29
4840 On ch=1 n=a6 v=0
4884 On ch=1 n=g6 v=0
4892 On ch=1 n=e5 v=0
4900 On ch=1 n=c5 v=0
4904 On ch=1 n=c6 v=63
4952 On ch=1 n=c6 v=0
4998 Par ch=1 c=64 v=0
5010 On ch=1 n=c6 v=62
5044 On ch=1 n=g4 v=32
5248 On ch=1 n=c#6 v=46
5250 On ch=1 n=a#4 v=19
5254 On ch=1 n=e5 v=31
5260 On ch=1 n=c6 v=0
5374 On ch=1 n=e5 v=0
5436 On ch=1 n=a#4 v=0
5466 On ch=1 n=g4 v=0
5500 On ch=1 n=d6 v=49
5516 On ch=1 n=f#4 v=34
5536 On ch=1 n=c#6 v=0
5720 Par ch=1 c=64 v=127
5738 On ch=1 n=d6 v=0
5746 On ch=1 n=f#4 v=0
5768 On ch=1 n=a5 v=37
5770 On ch=1 n=a4 v=25
5776 On ch=1 n=d5 v=31
5832 On ch=1 n=a4 v=0
5838 On ch=1 n=d5 v=0
5994 On ch=1 n=a5 v=0
6028 Par ch=1 c=64 v=0
6052 On ch=1 n=g6 v=67
6060 On ch=1 n=g3 v=52
6106 On ch=1 n=g6 v=0
6106 On ch=1 n=g3 v=0
6150 On ch=1 n=a6 v=39
6182 Par ch=1 c=64 v=127
6208 On ch=1 n=g6 v=50
6218 On ch=1 n=a6 v=0
6260 On ch=1 n=d5 v=28
6262 On ch=1 n=a#4 v=34
6266 On ch=1 n=g6 v=0
6320 On ch=1 n=g5 v=55
6330 On ch=1 n=d5 v=0
6330 On ch=1 n=a#4 v=0
6350 Par ch=1 c=64 v=0
6386 On ch=1 n=g5 v=0
6414 On ch=1 n=d6 v=56
6418 On ch=1 n=a#3 v=62
6466 On ch=1 n=a#3 v=0
6469 On ch=1 n=d6 v=0
6478 On ch=1 n=e6 v=62
6554 On ch=1 n=e6 v=0
6568 On ch=1 n=d6 v=53
6588 On ch=1 n=d5 v=53
6614 On ch=1 n=a#4 v=28
6630 On ch=1 n=d6 v=0
6638 On ch=1 n=d5 v=0
6656 On ch=1 n=g5 v=54
6686 On ch=1 n=a#4 v=0
6718 On ch=1 n=g5 v=0
6768 On ch=1 n=d4 v=80
6776 On ch=1 n=d6 v=77
6828 On ch=1 n=d6 v=0
6858 On ch=1 n=e6 v=59
6947 On ch=1 n=d6 v=69
6954 On ch=1 n=d5 v=40
6957 On ch=1 n=a4 v=41
6972 On ch=1 n=e6 v=0
6998 On ch=1 n=d6 v=0
7030 On ch=1 n=a4 v=0
7030 On ch=1 n=f5 v=54
7042 On ch=1 n=d5 v=0
7078 On ch=1 n=f5 v=0
7130 On ch=1 n=f6 v=90
7218 On ch=1 n=g6 v=80
7234 On ch=1 n=f6 v=0
7270 On ch=1 n=d5 v=59
7290 On ch=1 n=a4 v=54
7300 On ch=1 n=f6 v=90
7316 On ch=1 n=d5 v=0
7336 On ch=1 n=g6 v=0
7338 On ch=1 n=a4 v=0
7348 On ch=1 n=f6 v=0
7364 On ch=1 n=d4 v=0
7374 On ch=1 n=f5 v=72
7430 On ch=1 n=f5 v=0
7472 On ch=1 n=g3 v=85
7496 On ch=1 n=g6 v=92
7508 On ch=1 n=g3 v=0
7564 Par ch=1 c=64 v=127
7578 On ch=1 n=a6 v=76
7602 On ch=1 n=g6 v=0
7664 On ch=1 n=g6 v=91
7672 Par ch=1 c=64 v=0
7674 On ch=1 n=a#4 v=55
7680 On ch=1 n=d5 v=48
7702 On ch=1 n=a6 v=0
7708 On ch=1 n=g6 v=0
7724 On ch=1 n=a#4 v=0
7734 On ch=1 n=d5 v=0
7742 On ch=1 n=g5 v=72
7812 On ch=1 n=g5 v=0
7840 On ch=1 n=a#3 v=75
7854 On ch=1 n=d6 v=89
7900 On ch=1 n=a#3 v=0
7944 On ch=1 n=e6 v=65
7956 On ch=1 n=d6 v=0
8018 On ch=1 n=d5 v=59
8022 On ch=1 n=d6 v=86
8024 On ch=1 n=a#4 v=52
8060 On ch=1 n=e6 v=0
8064 On ch=1 n=d5 v=0
8074 On ch=1 n=a#4 v=0
8088 On ch=1 n=d6 v=0
8108 On ch=1 n=g5 v=68
8166 On ch=1 n=g5 v=0
8214 On ch=1 n=d4 v=70
8222 On ch=1 n=d6 v=78
8280 On ch=1 n=d6 v=0
8304 On ch=1 n=e6 v=50
8370 On ch=1 n=d6 v=63
8384 On ch=1 n=d5 v=51
8406 On ch=1 n=e6 v=0
8406 On ch=1 n=a4 v=38
8466 On ch=1 n=d6 v=0
8466 On ch=1 n=d5 v=0
8469 On ch=1 n=a4 v=0
8469 On ch=1 n=f5 v=51
8520 On ch=1 n=f5 v=0
8562 On ch=1 n=f6 v=77
8622 On ch=1 n=f6 v=0
8644 On ch=1 n=g6 v=65
8706 On ch=1 n=d5 v=44
8714 On ch=1 n=a4 v=56
8718 On ch=1 n=f6 v=56
8736 On ch=1 n=g6 v=0
8758 On ch=1 n=d5 v=0
8762 On ch=1 n=a4 v=0
8772 On ch=1 n=f6 v=0
8796 On ch=1 n=d4 v=0
8808 On ch=1 n=f5 v=50
8870 On ch=1 n=f5 v=0
8898 On ch=1 n=a3 v=70
8918 On ch=1 n=f6 v=73
8940 On ch=1 n=a3 v=0
8968 On ch=1 n=f6 v=0
8996 On ch=1 n=g6 v=67
9058 On ch=1 n=f6 v=52
9058 On ch=1 n=c5 v=65
9068 On ch=1 n=f4 v=76
9076 On ch=1 n=g6 v=0
9120 On ch=1 n=f6 v=0
9160 On ch=1 n=f5 v=62
9266 On ch=1 n=f5 v=0
9280 On ch=1 n=f#5 v=72
9322 On ch=1 n=c5 v=0
9354 On ch=1 n=f#5 v=0
9373 On ch=1 n=g5 v=70
9440 On ch=1 n=f4 v=0
9480 On ch=1 n=f#5 v=72
9482 On ch=1 n=f#4 v=73
9489 On ch=1 n=g5 v=0
9528 On ch=1 n=f#4 v=0
9554 On ch=1 n=f#5 v=0
9578 On ch=1 n=c5 v=62
9630 On ch=1 n=c5 v=0
9698 On ch=1 n=a3 v=42
9722 On ch=1 n=f6 v=89
9762 On ch=1 n=a3 v=0
9796 On ch=1 n=f6 v=0
9804 On ch=1 n=g6 v=82
9886 On ch=1 n=f6 v=59
9892 On ch=1 n=c5 v=71
9902 On ch=1 n=f4 v=78
9932 On ch=1 n=g6 v=0
9948 On ch=1 n=f6 v=0
9996 On ch=1 n=f5 v=61
10042 On ch=1 n=f5 v=0
10112 On ch=1 n=f#5 v=69
10144 On ch=1 n=c5 v=0
10198 On ch=1 n=f#5 v=0
10208 On ch=1 n=g5 v=70
10276 On ch=1 n=f#5 v=52
10282 On ch=1 n=g5 v=0
10290 On ch=1 n=f4 v=0
10290 On ch=1 n=f#4 v=66
10336 On ch=1 n=f#4 v=0
10370 On ch=1 n=c5 v=51
10373 On ch=1 n=f#5 v=0
10430 On ch=1 n=c5 v=0
10458 On ch=1 n=a#3 v=69
10466 On ch=1 n=g5 v=78
10532 On ch=1 n=g5 v=0
10548 On ch=1 n=a5 v=52
10558 On ch=1 n=a#3 v=0
10618 On ch=1 n=g5 v=61
10648 On ch=1 n=g4 v=47
10650 On ch=1 n=d4 v=44
10678 On ch=1 n=a5 v=0
10692 On ch=1 n=g5 v=0
10704 On ch=1 n=d5 v=55
10706 On ch=1 n=g4 v=0
10714 On ch=1 n=d4 v=0
10760 On ch=1 n=d5 v=0
10800 On ch=1 n=a3 v=56
10804 On ch=1 n=a5 v=52
10858 On ch=1 n=a3 v=0
10874 On ch=1 n=a5 v=0
10882 On ch=1 n=a#5 v=51
10940 On ch=1 n=a5 v=54
10968 On ch=1 n=a4 v=45
10996 On ch=1 n=a#5 v=0
11022 On ch=1 n=a4 v=0
11050 On ch=1 n=d5 v=53
11058 On ch=1 n=a5 v=0
11108 On ch=1 n=d5 v=0
11132 On ch=1 n=a#5 v=63
11132 On ch=1 n=g3 v=75
11174 On ch=1 n=g3 v=0
11228 On ch=1 n=c6 v=57
11248 On ch=1 n=a#5 v=0
11304 On ch=1 n=a#5 v=68
11310 On ch=1 n=c6 v=0
11312 On ch=1 n=a#4 v=47
11368 On ch=1 n=a#4 v=0
11400 On ch=1 n=d5 v=49
11416 On ch=1 n=a#5 v=0
11476 On ch=1 n=d5 v=0
11538 On ch=1 n=c6 v=91
11584 On ch=1 n=c3 v=21
11620 Par ch=1 c=64 v=127
11644 On ch=1 n=c3 v=0
11774 On ch=1 n=a#4 v=46
11782 On ch=1 n=c6 v=0
11786 On ch=1 n=c5 v=40
11834 On ch=1 n=a#4 v=0
11856 On ch=1 n=c5 v=0
11974 Par ch=1 c=64 v=0
12038 On ch=1 n=f3 v=90
12040 On ch=1 n=f6 v=81
12074 On ch=1 n=f3 v=0
12102 On ch=1 n=g6 v=84
12106 On ch=1 n=f6 v=0
12142 Par ch=1 c=64 v=127
12194 On ch=1 n=f6 v=64
12238 On ch=1 n=g6 v=0
12270 On ch=1 n=f6 v=0
12299 On ch=1 n=c5 v=59
12300 On ch=1 n=a4 v=49
12308 On ch=1 n=f5 v=50
12351 On ch=1 n=c5 v=0
12352 On ch=1 n=a4 v=0
12364 On ch=1 n=f5 v=0
12412 On ch=1 n=c6 v=67
12420 Par ch=1 c=64 v=0
12450 On ch=1 n=c4 v=63
12460 On ch=1 n=c6 v=0
12494 On ch=1 n=d6 v=73
12506 On ch=1 n=c4 v=0
12566 On ch=1 n=d6 v=0
12572 On ch=1 n=c6 v=51
12616 On ch=1 n=c5 v=42
12634 On ch=1 n=c6 v=0
12634 On ch=1 n=a4 v=20
12650 On ch=1 n=f5 v=51
12678 On ch=1 n=c5 v=0
12698 On ch=1 n=a4 v=0
12706 On ch=1 n=f5 v=0
12750 On ch=1 n=d6 v=79
12762 On ch=1 n=f4 v=70
12800 On ch=1 n=d6 v=0
12812 On ch=1 n=f4 v=0
12824 On ch=1 n=e6 v=45
12902 On ch=1 n=d6 v=56
12918 On ch=1 n=c5 v=38
12928 On ch=1 n=e6 v=0
12932 On ch=1 n=a4 v=33
12968 On ch=1 n=d6 v=0
12980 On ch=1 n=c5 v=0
12982 On ch=1 n=f5 v=51
12992 On ch=1 n=a4 v=0
13060 On ch=1 n=f5 v=0
13084 On ch=1 n=e6 v=65
13090 On ch=1 n=c4 v=60
13146 On ch=1 n=c4 v=0
13150 On ch=1 n=e6 v=0
13166 On ch=1 n=f6 v=62
13228 On ch=1 n=e6 v=52
13240 On ch=1 n=a4 v=33
13246 On ch=1 n=f6 v=0
13246 On ch=1 n=c5 v=41
13300 On ch=1 n=a4 v=0
13312 On ch=1 n=e6 v=0
13312 On ch=1 n=c5 v=0
13316 On ch=1 n=f5 v=53
13368 On ch=1 n=f5 v=0
13416 On ch=1 n=f3 v=76
13419 On ch=1 n=f6 v=75
13448 Par ch=1 c=64 v=127
13456 On ch=1 n=f3 v=0
13475 On ch=1 n=f6 v=0
13479 Par ch=1 c=64 v=0
13492 On ch=1 n=g6 v=75
13554 On ch=1 n=f6 v=58
13570 On ch=1 n=g6 v=0
13606 On ch=1 n=c5 v=34
13612 On ch=1 n=a4 v=12
13632 On ch=1 n=f6 v=0
13648 On ch=1 n=f5 v=59
13664 On ch=1 n=a4 v=0
13676 On ch=1 n=c5 v=0
13692 On ch=1 n=f5 v=0
13754 On ch=1 n=c4 v=62
13754 On ch=1 n=g6 v=88
13806 On ch=1 n=g6 v=0
13808 On ch=1 n=c4 v=0
13836 On ch=1 n=a6 v=62
13912 On ch=1 n=g6 v=62
13925 On ch=1 n=a4 v=33
13928 On ch=1 n=c5 v=42
13952 On ch=1 n=a6 v=0
13952 On ch=1 n=g6 v=0
13985 On ch=1 n=a4 v=0
13990 On ch=1 n=c5 v=0
14020 On ch=1 n=f5 v=44
14072 On ch=1 n=f5 v=0
14114 On ch=1 n=a6 v=94
14124 On ch=1 n=f4 v=71
14190 On ch=1 n=f4 v=0
14294 Par ch=1 c=64 v=127
14312 On ch=1 n=c5 v=35
14318 On ch=1 n=a4 v=31
14380 On ch=1 n=c5 v=0
14388 On ch=1 n=a4 v=0
14476 On ch=1 n=c4 v=43
14484 On ch=1 n=a6 v=0
14532 On ch=1 n=c4 v=0
14670 On ch=1 n=c5 v=27
14684 On ch=1 n=a4 v=25
14740 On ch=1 n=c5 v=0
14752 On ch=1 n=a4 v=0
14846 On ch=1 n=f3 v=78
14858 On ch=1 n=c7 v=74
14884 On ch=1 n=f3 v=0
14906 On ch=1 n=c7 v=0
14936 On ch=1 n=d7 v=63
15016 Par ch=1 c=64 v=0
15022 On ch=1 n=c7 v=59
15028 On ch=1 n=d7 v=0
15034 On ch=1 n=c5 v=58
15060 On ch=1 n=a4 v=23
15088 On ch=1 n=c5 v=0
