MFile 1 3 480
MTrk
0 Tempo 267857
0 KeySig -4 major
13120 On ch=1 n=c#7 v=75
13275 On ch=1 n=c#7 v=0
13280 On ch=1 n=c7 v=75
13435 On ch=1 n=c7 v=0
13440 On ch=1 n=a#6 v=75
13595 On ch=1 n=a#6 v=0
13600 On ch=1 n=g#6 v=75
13755 On ch=1 n=g#6 v=0
13760 On ch=1 n=g6 v=75
13915 On ch=1 n=g6 v=0
13920 On ch=1 n=a#6 v=92
14075 On ch=1 n=a#6 v=0
14080 On ch=1 n=c7 v=92
14235 On ch=1 n=c7 v=0
14240 On ch=1 n=g#6 v=92
14395 On ch=1 n=g#6 v=0
14400 On ch=1 n=g6 v=92
14555 On ch=1 n=g6 v=0
14560 On ch=1 n=g#6 v=92
14715 On ch=1 n=g#6 v=0
14720 On ch=1 n=f6 v=92
14875 On ch=1 n=f6 v=0
14880 On ch=1 n=e6 v=75
15035 On ch=1 n=e6 v=0
15040 On ch=1 n=g6 v=75
15195 On ch=1 n=g6 v=0
15200 On ch=1 n=f6 v=75
15355 On ch=1 n=f6 v=0
15360 On ch=1 n=e6 v=75
15515 On ch=1 n=e6 v=0
15520 On ch=1 n=f6 v=75
15675 On ch=1 n=f6 v=0
15680 On ch=1 n=c#6 v=75
15835 On ch=1 n=c#6 v=0
15840 On ch=1 n=c6 v=60
15995 On ch=1 n=c6 v=0
16000 On ch=1 n=c#6 v=60
16155 On ch=1 n=c#6 v=0
16160 On ch=1 n=b5 v=60
16315 On ch=1 n=b5 v=0
16320 On ch=1 n=c6 v=60
16475 On ch=1 n=c6 v=0
16480 On ch=1 n=d#6 v=60
16635 On ch=1 n=d#6 v=0
16640 On ch=1 n=c#6 v=60
16795 On ch=1 n=c#6 v=0
16800 On ch=1 n=c6 v=60
16955 On ch=1 n=c6 v=0
16960 On ch=1 n=c#6 v=60
17115 On ch=1 n=c#6 v=0
17120 On ch=1 n=b5 v=60
17275 On ch=1 n=b5 v=0
17280 On ch=1 n=c6 v=60
17435 On ch=1 n=c6 v=0
17440 On ch=1 n=f#6 v=60
17595 On ch=1 n=f#6 v=0
17600 On ch=1 n=g6 v=60
17755 On ch=1 n=g6 v=0
17760 On ch=1 n=c6 v=60
17915 On ch=1 n=c6 v=0
17920 On ch=1 n=c#6 v=60
18075 On ch=1 n=c#6 v=0
18080 On ch=1 n=b5 v=60
18235 On ch=1 n=b5 v=0
18240 On ch=1 n=c6 v=60
18395 On ch=1 n=c6 v=0
18400 On ch=1 n=d#6 v=60
18555 On ch=1 n=d#6 v=0
18560 On ch=1 n=c#6 v=60
18715 On ch=1 n=c#6 v=0
18720 On ch=1 n=c6 v=60
18875 On ch=1 n=c6 v=0
18880 On ch=1 n=c#6 v=60
19035 On ch=1 n=c#6 v=0
19040 On ch=1 n=b5 v=60
19195 On ch=1 n=b5 v=0
19200 On ch=1 n=c6 v=60
19355 On ch=1 n=c6 v=0
19360 On ch=1 n=g#6 v=60
19515 On ch=1 n=g#6 v=0
19520 On ch=1 n=f6 v=60
19675 On ch=1 n=f6 v=0
19680 Par ch=1 c=64 v=127
19680 On ch=1 n=d#6 v=60
19835 On ch=1 n=d#6 v=0
19840 On ch=1 n=f6 v=60
19995 On ch=1 n=f6 v=0
