MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
8050 On ch=1 n=f#4 v=0
8068 On ch=1 n=f#3 v=0
8126 On ch=1 n=f#5 v=0
8370 On ch=1 n=g#5 v=34
8370 On ch=1 n=g#4 v=22
8396 On ch=1 n=e4 v=14
8398 On ch=1 n=e3 v=32
8402 On ch=1 n=c#4 v=10
8408 On ch=1 n=c#5 v=23
8416 Par ch=1 c=64 v=0
8600 Par ch=1 c=64 v=127
8634 On ch=1 n=e3 v=0
8650 On ch=1 n=e4 v=0
8654 On ch=1 n=g#3 v=37
8666 On ch=1 n=e5 v=53
8680 On ch=1 n=c#4 v=0
8714 On ch=1 n=g#5 v=0
8718 On ch=1 n=g#4 v=0
8762 On ch=1 n=c#5 v=0
8830 On ch=1 n=g#3 v=0
8842 On ch=1 n=e5 v=0
8982 On ch=1 n=d#5 v=37
8986 On ch=1 n=f#4 v=25
8988 On ch=1 n=b4 v=27
8996 On ch=1 n=f#3 v=24
9014 Par ch=1 c=64 v=0
9312 On ch=1 n=f#4 v=0
9322 Par ch=1 c=64 v=127
9588 On ch=1 n=f#3 v=0
9644 On ch=1 n=d#4 v=15
9650 On ch=1 n=d#3 v=14
9660 Par ch=1 c=64 v=0
9906 Par ch=1 c=64 v=127
9966 On ch=1 n=b4 v=0
9980 On ch=1 n=c#5 v=27
9994 On ch=1 n=a4 v=10
10002 On ch=1 n=d#5 v=0
10122 Par ch=1 c=64 v=0
10274 Par ch=1 c=64 v=127
10430 On ch=1 n=c#5 v=0
10460 On ch=1 n=a4 v=0
10466 On ch=1 n=g#3 v=16
10470 On ch=1 n=g#4 v=19
10486 On ch=1 n=d#4 v=0
10506 Par ch=1 c=64 v=0
10514 On ch=1 n=c5 v=11
10528 On ch=1 n=d#3 v=0
10874 Par ch=1 c=64 v=127
10938 On ch=1 n=c5 v=0
10958 On ch=1 n=g#3 v=0
11396 On ch=1 n=g#4 v=0
11396 On ch=1 n=c#5 v=25
11408 On ch=1 n=c#4 v=21
11648 On ch=1 n=c#4 v=0
11724 On ch=1 n=d#5 v=41
11784 On ch=1 n=d#4 v=18
11858 On ch=1 n=d#4 v=0
11864 On ch=1 n=c#5 v=0
12020 On ch=1 n=d#5 v=0
12088 On ch=1 n=e5 v=50
12110 On ch=1 n=e4 v=37
12138 On ch=1 n=c#3 v=21
12164 Par ch=1 c=64 v=0
12364 Par ch=1 c=64 v=127
12400 On ch=1 n=e4 v=0
12490 On ch=1 n=g#3 v=32
12520 On ch=1 n=c#3 v=0
12688 On ch=1 n=g#3 v=0
12752 On ch=1 n=e5 v=0
12766 On ch=1 n=d#5 v=54
12776 On ch=1 n=d#4 v=19
12911 On ch=1 n=d#4 v=0
13033 On ch=1 n=d#5 v=0
13051 On ch=1 n=e5 v=59
13055 On ch=1 n=e4 v=58
13173 On ch=1 n=e4 v=0
13289 On ch=1 n=g#2 v=35
13335 On ch=1 n=d#4 v=48
13335 On ch=1 n=d#5 v=55
13353 On ch=1 n=e5 v=0
13407 Par ch=1 c=64 v=0
13581 On ch=1 n=g#2 v=0
13615 On ch=1 n=g#3 v=47
13667 Par ch=1 c=64 v=127
13731 On ch=1 n=g#3 v=0
13765 On ch=1 n=d#4 v=0
13893 On ch=1 n=c#5 v=66
13907 On ch=1 n=c#4 v=40
13947 On ch=1 n=d#5 v=0
14055 On ch=1 n=c#4 v=0
14201 On ch=1 n=d#5 v=75
14209 On ch=1 n=d#4 v=49
14289 On ch=1 n=c#5 v=0
14343 On ch=1 n=d#4 v=0
14497 Par ch=1 c=64 v=0
14501 On ch=1 n=f#5 v=59
14509 On ch=1 n=f#4 v=52
14537 On ch=1 n=d#5 v=0
14539 On ch=1 n=c#3 v=34
14697 Par ch=1 c=64 v=127
14749 On ch=1 n=f#5 v=0
14763 On ch=1 n=f#4 v=0
14831 On ch=1 n=e5 v=75
14847 On ch=1 n=e4 v=66
14877 On ch=1 n=g#3 v=33
14957 On ch=1 n=e4 v=0
15079 On ch=1 n=d#4 v=60
15082 On ch=1 n=d#5 v=76
15123 On ch=1 n=e5 v=0
15265 On ch=1 n=d#4 v=0
15297 On ch=1 n=g#3 v=0
15335 On ch=1 n=d#5 v=0
15337 On ch=1 n=e5 v=79
15343 On ch=1 n=e4 v=76
15429 On ch=1 n=c#3 v=0
15445 On ch=1 n=e4 v=0
15611 On ch=1 n=g#2 v=35
15611 On ch=1 n=d#4 v=57
15613 On ch=1 n=d#5 v=70
15663 On ch=1 n=e5 v=0
15727 Par ch=1 c=64 v=0
15881 On ch=1 n=g#3 v=55
15889 On ch=1 n=g#2 v=0
15925 Par ch=1 c=64 v=127
15983 On ch=1 n=d#4 v=0
15986 On ch=1 n=g#3 v=0
16113 On ch=1 n=d#5 v=0
16147 On ch=1 n=e5 v=78
16159 On ch=1 n=e4 v=65
16211 On ch=1 n=e4 v=0
16407 On ch=1 n=f#5 v=72
16413 On ch=1 n=f#4 v=72
16431 On ch=1 n=e5 v=0
16515 On ch=1 n=f#4 v=0
16671 On ch=1 n=e3 v=69
16674 On ch=1 n=g#4 v=64
16677 On ch=1 n=g#5 v=74
16749 On ch=1 n=f#5 v=0
16801 Par ch=1 c=64 v=0
16945 On ch=1 n=c#4 v=65
16963 On ch=1 n=e3 v=0
17001 Par ch=1 c=64 v=127
17065 On ch=1 n=g#4 v=0
17065 On ch=1 n=g#5 v=0
17099 On ch=1 n=c#4 v=0
17165 On ch=1 n=f#5 v=77
17169 On ch=1 n=f#4 v=83
17267 On ch=1 n=f#4 v=0
17417 On ch=1 n=g#5 v=84
17420 On ch=1 n=g#4 v=75
17525 On ch=1 n=f#5 v=0
17551 On ch=1 n=g#4 v=0
17621 On ch=1 n=g#5 v=0
17676 On ch=1 n=c#3 v=77
17693 Par ch=1 c=64 v=0
17709 On ch=1 n=a#5 v=79
17719 On ch=1 n=a#4 v=62
17853 On ch=1 n=c#3 v=0
17877 Par ch=1 c=64 v=127
17949 On ch=1 n=e4 v=83
18055 On ch=1 n=a#5 v=0
18057 On ch=1 n=a#4 v=0
18121 On ch=1 n=e4 v=0
18197 On ch=1 n=g#5 v=81
18202 On ch=1 n=g#4 v=66
18311 On ch=1 n=g#4 v=0
18485 On ch=1 n=a#5 v=83
18490 On ch=1 n=a#4 v=68
18529 On ch=1 n=g#5 v=0
18727 On ch=1 n=a#4 v=0
18765 On ch=1 n=a#5 v=0
18783 Par ch=1 c=64 v=0
18813 On ch=1 n=b5 v=87
18813 On ch=1 n=b2 v=60
18825 On ch=1 n=b4 v=60
18997 On ch=1 n=b2 v=0
19031 Par ch=1 c=64 v=127
19117 On ch=1 n=b5 v=0
19135 On ch=1 n=d#4 v=64
19153 On ch=1 n=b4 v=0
19311 On ch=1 n=d#4 v=0
19395 On ch=1 n=g#5 v=71
19401 On ch=1 n=g#4 v=61
19491 On ch=1 n=g#4 v=0
19673 On ch=1 n=a#5 v=65
19673 On ch=1 n=a#4 v=52
19761 On ch=1 n=g#5 v=0
19791 On ch=1 n=a#5 v=0
19807 On ch=1 n=a#4 v=0
19949 On ch=1 n=f#5 v=51
19949 On ch=1 n=f#4 v=58
19949 On ch=1 n=c#3 v=29
19952 Par ch=1 c=64 v=0
20218 On ch=1 n=g#3 v=40
20272 Par ch=1 c=64 v=127
20334 On ch=1 n=c#3 v=0
20356 On ch=1 n=f#5 v=0
20364 On ch=1 n=f#4 v=0
20372 On ch=1 n=g#3 v=0
20526 On ch=1 n=e4 v=66
20532 On ch=1 n=e5 v=58
20814 On ch=1 n=c#5 v=72
20828 On ch=1 n=e4 v=0
20831 On ch=1 n=c#4 v=42
20852 On ch=1 n=e5 v=0
20924 On ch=1 n=c#4 v=0
20980 On ch=1 n=c#5 v=0
21106 On ch=1 n=b4 v=63
21116 On ch=1 n=g#4 v=43
21130 On ch=1 n=d#3 v=28
21132 Par ch=1 c=64 v=0
21372 On ch=1 n=d#4 v=45
21454 Par ch=1 c=64 v=127
21746 On ch=1 n=a#4 v=44
21746 Par ch=1 c=64 v=0
21766 On ch=1 n=g4 v=29
21770 On ch=1 n=b4 v=0
21788 On ch=1 n=g#4 v=0
22002 On ch=1 n=d#4 v=0
22022 Par ch=1 c=64 v=127
22214 On ch=1 n=d#3 v=0
22468 Par ch=1 c=64 v=0
22494 On ch=1 n=g4 v=0
22504 On ch=1 n=g#4 v=28
22516 On ch=1 n=g#2 v=21
22706 On ch=1 n=a#4 v=0
22930 Par ch=1 c=64 v=127
22960 On ch=1 n=g#3 v=25
22982 On ch=1 n=g#2 v=0
